A branch or company Cost Center is required before creating an Expense Claim.,فرع أو مركز تكلفة شركة مطلوب قبل إنشاء مصروف.,
Account,حساب,
Account Number,رقم الحساب,
Accounts Manager,مدير الحسابات,
Accounts User,مستخدم الحسابات,
Actions,الإجراءات,
Add Row,إضافة صف,
Add a bank row to enter reference and amount details.,أضف صف بنك لإدخال تفاصيل المرجع والمبلغ.,
Add at least one bank row before submitting.,أضف صف بنك واحد على الأقل قبل الإرسال.,
Add at least one payment row with a positive amount.,أضف صف دفع واحد على الأقل برصيد موجب.,
Address,عنوان,
Address {0} is not linked to Customer {1}.,العنوان {0} غير مرتبط بالعميل {1}.,
Advanced Filters,فلاتر متقدمة,
All Statuses,جميع الحالات,
Allocate Invoice Payment,تخصيص دفع الفاتورة,
Allow Print Last Invoice,السماح بطباعة آخر فاتورة,
Allow Purchase,السماح بالشراء,
Allow pop-ups to print the Close Day report.,السماح بالنوافذ المنبثقة لطباعة تقرير إغلاق اليوم.,
Amended From,تم التعديل من,
Amount,كمية,
Apply Filters,تطبيق الفلاتر,
Approval Status,حالة الموافقة,
Are you sure you want to cancel this expense claim?,هل أنت متأكد من أنك تريد إلغاء دعوى المصروف هذه؟,
Are you sure you want to cancel this invoice?,هل أنت متأكد من أنك تريد إلغاء هذه الفاتورة؟,
Are you sure you want to cancel this stock entry?,هل أنت متأكد من أنك تريد إلغاء إدخال المخزون هذا؟,
Are you sure you want to close this shift?,هل أنت متأكد من أنك تريد إغلاق هذه الفترة؟,
Are you sure you want to delete this invoice? This action cannot be undone.,هل أنت متأكد من أنك تريد حذف هذه الفاتورة؟ لا يمكن التراجع عن هذا الإجراء.,
Are you sure you want to receive this transfer?,هل أنت متأكد من أنك تريد استقبال هذا التحويل؟,
At least one bank row with values is required for Bank Note Count.,يلزم صف بنك واحد على الأقل بقيم لعد الأوراق النقدية للبنك.,
At least one payment row is required.,يلزم صف دفع واحد على الأقل.,
Attribute,سمة,
Bank,المصرف,
Bank Branch,فرع البنك,
Bank Breakdown,توزيع البنك,
